ID;RUT;DV;NOMBRES;PATERNO;MATERNO;NAC_DIA;NAC_MES;NAC_ANHO;SEXO;DIRECCION;NRO;COMUNA;POSEE_LICENCIA;LICENCIA;ANTEOJOS
1;9577000;2;LIRIA;HIDALGO;ABARCA;10;10;1994;1;PJE. VEINTICINCO;1090;CERRO NAVIA;1;A;1
2;7213099;5;MARIA;CAMPOS;SANTIBAÑEZ;14;7;2001;1;RIO MALLECO;2422;QUILICURA;1;C;0
3;17232846;6;YASNA;ROBLES;CABRERA;14;12;2002;1;CHACON ZAMORA;7601;LA FLORIDA;1;B;0
4;19882927;7;BARBARA;SILVA;MANSILLA;6;12;1989;1;SANTA ELENA;5205;SANTIAGO;1;A;1
5;4918009;8;LUIS;AHUMADA;CAÑETE;1;10;1965;2;AV. CONSISTORIAL;8836;PEÑALOLEN;1;C;0
6;7074071;0;FERNANDO;BARROS;LORCA;27;3;2003;2;EL QUILLAY;2417;LA PINTANA;1;A;0
7;18330554;9;FERNANDA;CASTILLO;RIVEROS;18;4;1989;1;PJE. VEINTICINCO;413;LO ESPEJO;1;B;0
8;10877040;6;CRISTINA;BERNALES;GUTIERREZ;5;8;2006;1;MIRAFLORES;2149;RENCA;1;C;0
9;17110111;5;MATIAS;MARIN;HIDALGO;31;3;1993;2;PJE. EL PONCHO;6516;LA FLORIDA;0; ;0
10;15754733;K;MATIAS;PEREZ;CASANOVA;30;8;1989;2;RIO GUADIANA;2146;LAS CONDES;1;A;0
11;12821584;0;GLORIA;BERNALES;ALVARADO;14;3;2007;1;CENTRAL GONZALO PEREZ LLONA;4376;MAIPU;1;C;1
12;10749448;0;JOSE;VALDEBENITO;VILLA;26;2;2006;2;GRECIA;4583;MAIPU;1;A;0
13;19548280;2;BETSABET;IBAÑEZ;LOPEZ;4;7;1997;1;RIO PUELCHE;9695;PUENTE ALTO;1;B;0
14;15066025;4;ROSA;MORENO;SILVA;2;1;2004;1;CRETA;7085;PUENTE ALTO;1;A;1
15;12364173;6;RICHARD;ACEVEDO;ZUÑIGA;20;7;2004;2;JULIO MONTT SALAMANCA;6263;CONCHALI;1;A;0
16;9910264;0;CARMEN;SANDOVAL;CIFUENTES;20;6;2000;1;GUILLERMO FRANKE;5362;ESTACION CENTRAL;1;C;0
17;17231629;8;FRANCHESCOLI;SEREY;SEREY;12;2;1989;2;PJE. CHUNGARA;2993;MAIPU;1;B;0
18;13547630;7;MARIANA;LEIVA;SAAVEDRA;5;1;1995;1;TORO MAZOTE;6292;ESTACION CENTRAL;1;B;0
19;19268417;K;NATALY;TORO;TORO;16;10;2000;1;LINCOLN;3763;LO ESPEJO;1;C;0
20;9614278;1;JUAN;MENESES;ABALLAY;2;8;1996;2;EL LUCUMILLO;9519;PUENTE ALTO;1;B;0
21;4101958;1;LUZ;ASTORGA;VENEGAS;16;4;1986;1;DE LA VICTORIA;7973;MAIPU;0; ;0
22;7970258;7;WALDO;MORENO;CORTES;4;10;2008;2;ANTONIO VARAS FRENTE AL;3033;ÑUÑOA;1;A;0
23;6922795;3;LUIS;DONOSO;OLMOS;22;11;1990;2;LIBERTAD;5764;SANTIAGO;1;C;0
24;16197541;9;CARLOS;SANTIBAÑEZ;SERRANO;17;7;1987;2;BOLIVIA;972;SAN RAMON;1;C;0
25;13196843;4;ALFONSO;VICENCIO;RAMOS;26;6;1994;2;AV. SIMON BOLIVAR;2054;ÑUÑOA;1;A;0
26;4945576;3;GLADYS;QUEZADA;MAZUELA;10;10;1987;1;DESIERTO DE ATACAMA;1250;PUENTE ALTO;1;C;0
27;10626334;5;JORGE;GACITUA;MORALES;16;9;1998;2;AV. CONSISTORIAL;1157;PEÑALOLEN;1;B;1
28;9965487;2;PATRICIA;ORELLANA;MORAGA;21;4;1997;1;CHILLAN;7749;RENCA;1;A;0
29;10054826;7;MARIA;CAMPOS;CHAMORRO;30;10;1993;1;LO BARNECHEA CON EL GABINO S/N;2925;LO BARNECHEA;1;A;0
30;10235321;8;ARMANDO;CARRASCO;ORTEGA;27;5;2002;2;LOS BAQUEANOS;9628;PEÑALOLEN;1;C;1
31;17622679;K;CLAUDIA;FABREGA;VALENCIA;17;7;1988;1;AV.;6041;MAIPU;1;A;0
32;19284879;2;MILKA;JIMENEZ;GONZALEZ;22;5;1996;1;PARAGUAY;7251;LA CISTERNA;1;C;0
33;13900055;2;JOHANA;QUINTANA;BERRIOS;11;4;1992;1;TRANCREDO PINOCHET;6496;LA PINTANA;1;B;0
34;19163088;2;DANIELA;ARIAS;VICENCIO;23;12;1970;1;TORTEL;8493;ESTACION CENTRAL;1;A;0
35;8931060;1;JAIME;HEREDIA;JUICA;9;9;2003;2;AV. EL GUANACO;3253;RECOLETA;1;A;0
36;5006986;9;GLORIA;LEON;CUADRA;7;8;1968;1;EL AGUILUCHO;7029;PROVIDENCIA;1;C;0
37;10285042;4;IDA;VERGARA;CORNEJO;7;11;1991;1;LO ESPEJO;9852;EL BOSQUE;1;C;0
38;16951702;9;ARACELI;RIVERA;CARVAJAL;25;11;2016;1;PJE. DURANGO;827;CONCHALI;0; ;0
39;8510750;K;MARIA;URIBE;SOTO;20;2;2008;1;YAWAR;4786;QUILICURA;1;B;0
40;4464098;8;JOSE;CARRASCO;VILLANUEVA;18;3;1998;2;INES DE SUAREZ;594;LA PINTANA;1;A;0
41;12351869;1;BERTA;VERGARA;FLORES;1;11;1997;1;RAUL FUICA;9650;PEDRO AGUIRRE CERDA;1;B;0
42;18332428;4;LESLIE;VALDERRAMA;BERRIOS;25;5;1989;1;PEDRO DE MENDOZA;7096;SAN BERNARDO;1;A;0
43;9857007;1;LUIS;VALENZUELA;ACUÑA;26;12;2003;2;MANUEL ANTONIO MATTA;821;QUILICURA;1;A;0
44;14119496;8;ROSARIO;COVARRUBIAS;SOISSA;15;12;1990;1;LEONOR LA CORTE;2474;QUINTA NORMAL;1;C;0
45;18152529;0;JOSELYN;MATUS;VELIOTIS;2;5;1984;1;CHIAPA;9188;PUENTE ALTO;0; ;1
46;15837678;4;CAROLINA;VILCHES;QUINTANA;20;9;1989;1;PRINCIPAL;3831;CONCHALI;1;C;0
47;4602303;K;SEGOVIA;DEL;VILLAR;3;3;1987;2;AV. VICUÑA MACKENNA FRENTE AL;8342;LA FLORIDA;0; ;0
48;10554525;8;VICTORIA;AZOCAR;TRUJILLO;8;1;2005;1;SANTO DOMINGO;1365;SANTIAGO;1;A;0
49;11798780;9;JUAN;COLLIO;HUIRCAMAN;18;6;1990;2;ISABEL BRAVO;3038;LA PINTANA;1;C;1
50;6108932;2;RACHEL;MUÑOZ;VERGARA;14;11;2004;1;AV. ROLANDO FRODEN;4216;LA FLORIDA;1;A;0
51;7034600;1;MARIA;PEÑA;OVALLE;11;11;2000;1;BUTALCURA;8016;ESTACION CENTRAL;1;B;0
52;18332214;1;GABRIEL;TAPIA;LLANCAPAN;26;10;2004;2;MAR BALTICO;1538;PUDAHUEL;1;C;0
53;18677549;K;VALENTINA;NUÑEZ;MANDUJANO;18;1;1997;1;BALDOMERO LILLO;2523;LA PINTANA;1;A;0
